date,home_team,away_team,home_score,away_score,tourniment,city,country
1979-07-20,Kyrgyzstan,Lithuania,0,0,Friendly,Moscow,Soviet Union
1979-07-22,Georgia,Lithuania,5,0,Friendly,Moscow,Soviet Union
1979-07-24,Azerbaijan,Lithuania,0,1,Friendly,Moscow,Soviet Union
1979-07-28,Lithuania,Ukraine,0,2,Friendly,Moscow,Soviet Union
1979-07-30,Russia,Lithuania,2,0,Friendly,Moscow,Soviet Union
1979-08-01,Belarus,Lithuania,0,2,Friendly,Moscow,Soviet Union
1979-08-05,Russia,Lithuania,2,1,Friendly,Moscow,Soviet Union
1990-05-27,Georgia,Lithuania,2,2,Friendly,Tbilisi,Soviet Union
1991-11-15,Lithuania,Estonia,4,1,Baltic Cup,Klaipeda,Lithuania
1991-11-17,Lithuania,Latvia,1,1,Baltic Cup,Kretinga,Lithuania
1992-04-14,Austria,Lithuania,4,0,Friendly,Vienna,Austria
1992-04-28,Northern Ireland,Lithuania,2,2,FIFA World Cup qualification,Belfast,Northern Ireland
1992-05-20,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova
1992-06-03,Albania,Lithuania,1,0,FIFA World Cup qualification,Tirana,Albania
1992-07-11,Estonia,Lithuania,1,1,Baltic Cup,Liepoja,Latvia
1992-07-12,Latvia,Lithuania,2,3,Baltic Cup,Liepoja,Latvia
1992-08-12,Latvia,Lithuania,1,2,FIFA World Cup qualification,Riga,Latvia
1992-09-02,Lithuania,Georgia,1,0,Friendly,Kaunas,Lithuania
1992-09-23,Lithuania,Denmark,0,0,FIFA World Cup qualification,Vilnius,Lithuania
1992-10-14,Lithuania,Slovakia,0,1,Friendly,Vilnius,Lithuania
1992-10-28,Lithuania,Latvia,1,1,FIFA World Cup qualification,Vilnius,Lithuania
1993-02-20,Latvia,Lithuania,1,2,Friendly,Vantaa,Finland
1993-02-21,Finland,Lithuania,3,0,Friendly,Vantaa,Finland
1993-02-24,Spain,Lithuania,5,0,FIFA World Cup qualification,Seville,Spain
1993-03-30,Slovakia,Lithuania,2,2,Friendly,Dunajsk� Streda,Slovakia
1993-03-31,Poland,Lithuania,1,1,Friendly,Brzeszcze,Poland
1993-04-14,Lithuania,Albania,3,1,FIFA World Cup qualification,Vilnius,Lithuania
1993-05-18,Lithuania,Ukraine,1,2,Friendly,Vilnius,Lithuania
1993-05-25,Lithuania,Northern Ireland,0,1,FIFA World Cup qualification,Vilnius,Lithuania
1993-06-02,Lithuania,Spain,0,2,FIFA World Cup qualification,Vilnius,Lithuania
1993-06-16,Lithuania,Republic of Ireland,0,1,FIFA World Cup qualification,Vilnius,Lithuania
1993-07-03,Latvia,Lithuania,0,0,Baltic Cup,Pernu,Estonia
1993-07-04,Estonia,Lithuania,2,1,Baltic Cup,Pernu,Estonia
1993-08-25,Denmark,Lithuania,4,0,FIFA World Cup qualification,Copenhagen,Denmark
1993-09-08,Republic of Ireland,Lithuania,2,0,FIFA World Cup qualification,Dublin,Republic of Ireland
1994-04-20,Lithuania,Israel,1,1,Friendly,Vilnius,Lithuania
1994-05-25,Czech Republic,Lithuania,5,3,Friendly,Ostrava,Czech Republic
1994-07-29,Lithuania,Estonia,3,0,Baltic Cup,Vilnius,Lithuania
1994-07-31,Lithuania,Latvia,1,0,Baltic Cup,Vilnius,Lithuania
1994-08-17,Sweden,Lithuania,4,2,Friendly,�rebro,Sweden
1994-09-07,Ukraine,Lithuania,0,2,UEFA Euro qualification,Ky�v,Ukraine
1994-10-09,Croatia,Lithuania,2,0,UEFA Euro qualification,Zagreb,Croatia
1994-11-16,Slovenia,Lithuania,1,2,UEFA Euro qualification,Maribor,Slovenia
1995-03-15,Poland,Lithuania,4,1,Friendly,Ostrowiec ?wi?tokrzyski,Poland
1995-03-29,Lithuania,Croatia,0,0,UEFA Euro qualification,Vilnius,Lithuania
1995-04-26,Lithuania,Italy,0,1,UEFA Euro qualification,Vilnius,Lithuania
1995-05-17,Lithuania,Greece,2,1,Friendly,Vilnius,Lithuania
1995-05-20,Estonia,Lithuania,0,7,Baltic Cup,Riga,Latvia
1995-05-21,Latvia,Lithuania,2,0,Baltic Cup,Riga,Latvia
1995-06-07,Lithuania,Slovenia,2,1,UEFA Euro qualification,Vilnius,Lithuania
1995-07-29,Lithuania,Belarus,1,1,Friendly,Vilnius,Lithuania
1995-08-16,Estonia,Lithuania,0,1,UEFA Euro qualification,Tallinn,Estonia
1995-09-06,Lithuania,Ukraine,1,3,UEFA Euro qualification,Vilnius,Lithuania
1995-10-11,Lithuania,Estonia,5,0,UEFA Euro qualification,Vilnius,Lithuania
1995-11-15,Italy,Lithuania,4,0,UEFA Euro qualification,Reggio Emilia,Italy
1996-02-21,Israel,Lithuania,4,2,Friendly,Haifa,Israel
1996-07-08,Latvia,Lithuania,1,2,Baltic Cup,Narva,Estonia
